Fecha;Hora;Temperatura;Humedad (%);Humedad del suelo (%);Porcenaje de agua;Estado bomba
20/8/2022;15:57:56;18.6;78.4;58.5;56.6;0
20/8/2022;15:58:01;18.6;78.4;58.3;56.27;0
20/8/2022;15:58:06;18.6;78.4;59.18;55.87;0
20/8/2022;15:58:11;18.6;78.4;58.89;56.97;0
20/8/2022;15:58:16;18.6;78.4;58.2;56.96;0
20/8/2022;15:58:21;18.6;78.4;58.89;56.83;0
20/8/2022;15:58:26;18.6;78.4;58.98;56.67;0
20/8/2022;15:58:31;18.6;78.4;58.4;56.42;0
20/8/2022;15:58:36;18.6;78.4;58.2;56.38;0
20/8/2022;15:58:41;18.6;78.4;58.2;56.45;0
20/8/2022;15:58:46;18.6;78.4;58.2;56.34;0
20/8/2022;15:58:51;18.6;78.4;58.2;57.04;0
20/8/2022;15:58:56;18.6;78.4;58.11;56.93;0
20/8/2022;15:59:01;18.6;78.5;58.2;57.16;0
20/8/2022;15:59:06;18.6;78.5;58.11;56.65;0
20/8/2022;15:59:11;18.6;78.5;58.3;56.42;0
20/8/2022;15:59:16;18.6;78.5;58.11;56.77;0
20/8/2022;15:59:21;18.6;78.5;58.59;57.04;0
20/8/2022;15:59:26;18.6;78.5;58.11;57.19;0
20/8/2022;15:59:31;18.6;78.5;58.11;56.11;0
20/8/2022;15:59:36;18.6;78.5;57.81;57.1;0
20/8/2022;15:59:41;18.6;78.5;58.5;56.52;0
20/8/2022;15:59:46;18.6;78.5;58.3;56.5;0
20/8/2022;15:59:51;18.6;78.5;57.81;55.92;0
20/8/2022;15:59:56;18.6;78.5;58.79;56.39;0
20/8/2022;16:00:01;18.5;78.4;58.11;56;0
20/8/2022;16:00:06;18.6;78.5;57.81;56.57;0
20/8/2022;16:00:11;18.6;78.5;58.4;56;0
20/8/2022;16:00:16;18.5;78.4;58.5;56.17;0
20/8/2022;16:00:21;18.6;78.5;58.4;56.69;0
20/8/2022;16:00:26;18.6;78.5;58.2;56.14;0
20/8/2022;16:00:31;18.6;78.5;57.81;56.08;0
20/8/2022;16:00:36;18.6;78.5;57.71;56.11;0
20/8/2022;16:00:41;18.6;78.4;57.62;56.64;0
20/8/2022;16:00:46;18.6;78.4;57.71;56.51;0
20/8/2022;16:00:51;18.6;78.5;57.71;56.42;0
20/8/2022;16:00:56;18.6;78.4;57.71;56.2;0
20/8/2022;16:01:01;18.6;78.4;58.3;56.51;0
20/8/2022;16:01:06;18.6;78.4;58.3;56.33;0
20/8/2022;16:01:11;18.6;78.4;58.11;56.42;0
20/8/2022;16:01:16;18.6;78.4;57.62;56.51;0
20/8/2022;16:01:21;18.6;78.4;57.52;56.45;0
20/8/2022;16:01:26;18.6;78.4;58.11;55.72;0
20/8/2022;16:01:31;18.6;78.4;57.62;55.95;0
20/8/2022;16:01:36;18.5;78.4;57.52;56.04;0
20/8/2022;16:01:41;18.5;78.4;57.42;55.86;0
20/8/2022;16:01:46;18.5;78.4;57.42;55.95;0
20/8/2022;16:01:51;18.5;78.4;57.52;55.92;0
20/8/2022;16:01:56;18.5;78.4;57.62;55.65;0
20/8/2022;16:02:01;18.5;78.4;58.01;56.24;0
20/8/2022;16:02:06;18.5;78.4;58.01;56.3;0
20/8/2022;16:02:11;18.5;78.4;57.32;57.21;0
20/8/2022;16:02:16;18.5;78.4;57.71;56.63;0
20/8/2022;16:02:21;18.5;78.4;57.42;56.52;0
20/8/2022;16:02:26;18.5;78.5;57.32;56.92;1
20/8/2022;16:02:31;18.5;78.5;57.42;55.59;0
20/8/2022;16:02:36;18.5;78.2;59.01;55.9;0
20/8/2022;16:02:41;18.5;78.2;62.32;55.02;0
20/8/2022;16:02:46;18.5;78.1;62.32;53.59;0
20/8/2022;16:02:51;18.5;78;62.32;52.51;0
20/8/2022;16:02:56;18.5;77.9;62.32;52.43;0
20/8/2022;16:03:01;18.5;77.8;62.32;53.2;0
20/8/2022;16:03:06;18.5;77.6;62.81;54.1;0
20/8/2022;16:03:11;18.4;77.5;62.81;52.34;0
20/8/2022;16:03:16;18.4;77.4;62.32;51.92;0
20/8/2022;16:03:21;18.4;77.2;62.32;51.93;0
20/8/2022;16:03:26;18.4;76.9;62.52;51.93;0
20/8/2022;16:03:32;18.4;76.7;62.32;51.91;0
20/8/2022;16:03:36;18.4;76.5;62.71;51.92;0
20/8/2022;16:03:41;18.4;76.4;62.52;51.91;0
20/8/2022;16:03:47;18.4;76.3;62.32;51.9;0
20/8/2022;16:03:52;18.4;77;62.01;51.91;0
20/8/2022;16:03:56;18.4;77.1;62.93;51.9;0
20/8/2022;16:04:02;18.4;77;62.81;51.9;0
20/8/2022;16:04:07;18.4;76.7;62.32;51.91;0
20/8/2022;16:04:12;18.4;76.6;62.89;51.92;0
20/8/2022;16:04:17;18.4;76.6;62.32;51.91;0
20/8/2022;16:04:22;18.3;76.4;62.23;51.91;0
21/8/2022;12:16:42;19.4;75.6;67.97;51.9;0
21/8/2022;12:16:47;19.4;75.7;68.36;52.35;0
21/8/2022;12:16:52;19.4;75.7;67.68;51.89;0
21/8/2022;12:16:57;19.4;75.7;67.97;51.9;0
21/8/2022;12:17:02;19.4;75.7;67.48;51.9;0
21/8/2022;12:17:07;19.4;75.7;67.19;52.08;0
21/8/2022;12:17:12;19.4;75.7;66.99;52;0
21/8/2022;12:17:22;19.4;75.7;67.19;51.91;1
21/8/2022;12:17:27;19.4;75.8;66.8;49.44;0
21/8/2022;12:17:32;19.4;75.8;66.7;49.75;0
21/8/2022;12:17:37;19.5;75.9;75.98;49.78;0
21/8/2022;12:17:42;19.5;75.9;78.52;49.75;0
21/8/2022;12:17:47;19.5;75.9;79.69;49.81;0
21/8/2022;12:17:52;19.5;75.9;79.79;49.42;0
21/8/2022;12:17:57;19.5;75.9;80.08;49.31;0
21/8/2022;12:18:02;19.5;75.9;79.3;49.44;0
21/8/2022;12:18:07;19.5;75.9;78.71;49.42;0
21/8/2022;12:18:12;19.5;75.9;76.27;49.4;0
21/8/2022;12:18:17;19.5;75.9;75.1;49.45;0
21/8/2022;12:18:22;19.5;75.9;73.44;49.44;0
21/8/2022;12:18:27;19.6;76;73.93;49.41;0
